Room No. F-108,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,X,x,X,x,X,x,x,x
Room No. F-109,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,2303382,2103958,2303389,2203386,2303395,2004408,X,X
2,2303383,2103962,2303390,xx,2303396,2004520,X,X
3,2303384,2103978,2303391,xx,2303397,2103954,X,X
4,2303385,2103983,2303392,1904898,2303397,2103997,X,X
5,2303386,2203362,2303393,1904902,2303397,2104001,X,X
6,2303388,2203383,2303394,2004400,2303397,2104054,X,X
7,X,x,X,x,X,X,x,X
8,X,x,X,x,X,X,x,X
9,X,x,X,x,X,X,x,X
Room No. F-110,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,2303401,1805091,2303408,2103955,2303414,2103973,x,x
2,2303402,2103941,2303409,2103956,2303415,2103974,x,x
3,2303403,2103944,2303410,2103963,2303416,2103975,x,x
4,2303404,2103945,2303411,2103965,2303417,2103976,x,x
5,2303406,2103950,2303412,2103969,2303418,2103980,x,x
6,2303407,2103952,2303413,2103970,2303419,2103984,x,x
7,X,x,x,x,x,x,x,x
8,X,x,x,x,x,x,x,x
9,X,x,X,x,x,x,x,x
Room No. F-111,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,2303420,2103985,2303427,2104006,2303433,2203377,x,x
2,2303421,2103988,2303428,2104007,2303434,2203378,x,x
3,2303423,2103991,2303429,2104013,2303436,2203385,x,x
4,2303424,2103994,2303430,2203366,2303437,2203387,x,x
5,2303425,2104002,2303431,2203372,2303438,B.Tech (CE*) 2004475,x,x
6,2303426,2104005,2303432,2203374,2303439,2004489,x,x
7,X,X,X,x,X,x,x,x
Room No. F-112,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,2303440,2004724,2303446,2203670,2303453,2203680,x,x
2,2303441,2104287,2303447,2203671,2303454,2203684,x,x
3,2303442,2104294,2303449,2203672,2303456,2203685,x,x
4,2303443,2104301,2303450,2203673,2303457,2203688,x,x
5,2303444,2104306,2303451,2203674,2303458,xx,x,x
6,2303445,2203668,2303452,2203676,2303459,1805922,x,x
7,x,x,x,x,x,x,X,x
8,x,x,x,x,x,x,X,X
Room No. F-113,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,2303460,2104235,2303468,2104244,2303475,2104258,x,x
2,2303462,2104236,2303469,2104247,2303476,2104259,x,x
3,2303463,2104237,2303470,2104251,2303477,2104262,x,x
4,2303465,2104238,2303471,2104254,2303478,2104265,x,x
5,2303466,2104239,2303472,2104255,2303479,2104266,x,x
6,2303467,2104243,2303474,2104256,2303480,2104273,x,x
7,x,x,x,x,x,x,x,x
8,x,x,x,x,x,x,X,X
Room No. F-114,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,2303481,2104275,2303491,xx,2303503,xx,x,x
2,2303482,2104278,2303492,xx,2303504,xx,x,x
3,2303483,2104279,2303493,xx,2303505,xx,x,x
4,2303484,2104283,2303496,xx,2303506,xx,x,x
5,2303486,xx,2303498,xx,2303507,xx,x,x
6,2303487,xx,2303499,xx,xx,xx,x,x
7,2303488,xx,2303500,xx,xx,xx,x,x
8,2303489,xx,2303501,xx,2204279,xx,x,x
9,2303490,xx,2303502,xx,2204285,xx,x,x
10,x,x,x,x,x,X,X,X
Room No. G-9,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,,,,,,,x,x
2,,,,,,,x,x
3,,,,,,,x,x
4,,,,,,,x,x
5,,,,,,,x,x
6,,,,,,,x,x
7,X,x,X,x,X,x,x,x
8,X,x,X,x,X,x,x,x
9,X,x,X,x,X,x,x,x
Room No. G-10,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,,,,,,x,x,x
2,,,,,,x,x,x
3,,,,,,x,x,x
4,,,,,,x,x,x
5,,,,,,x,x,x
6,,,,,,x,x,x
7,X,x,X,x,X,x,x,x
8,X,x,X,x,X,x,x,x
9,X,x,X,x,X,x,x,x
Room No. G-11,,X,,X,,X,,X
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,x,x,x,x,x,x,x,x
2,x,x,x,x,x,x,x,x
3,x,x,x,x,x,x,x,x
4,x,x,x,x,x,x,x,x
5,x,x,x,x,x,x,x,x
6,x,x,x,x,x,x,x,x
Room No. G-11A,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,x,x,x,x,x,x,x,x
2,x,x,x,x,x,x,x,x
3,x,x,x,x,x,x,x,x
4,x,x,x,x,x,x,x,x
5,x,x,x,x,x,x,x,x
6,x,x,x,x,x,x,x,x
Room No. G-4,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,x,x,x,x,x,x,x,x
2,x,x,x,x,x,x,x,x
3,x,x,x,x,x,x,x,x
4,x,x,x,x,x,x,x,x
5,x,x,x,x,x,x,x,x
6,x,x,x,x,x,x,x,x
Room No. G-5,,,,,,,,
S.No,Row-I,Row-II,Row-III,Row-IV,Row-V,Row-VI,Row-VII,Row-VIII
1,x,x,x,x,x,x,x,x
2,x,x,x,x,x,x,x,x
3,x,x,x,x,x,x,x,x
4,x,x,x,x,x,x,x,x
5,x,x,x,x,x,x,x,x
6,x,x,x,x,x,x,x,x
